Direction,ReferenceIndex,PayDate,AccrualStart,AccrualEnd,Days,Notional,Principal,ResetDate,ResetRate,Payment,Discount,PV
REC,EURIBOR3M,10/22/2035,NULL,NULL,NULL,NULL,-10000000,NULL,NULL,-10000000,0.784562,-7845619.51
REC,EURIBOR3M,01/22/2036,10/22/2035,01/22/2036,92,10000000,0,10/18/2035,3.1569,79349.12,0.778419,61766.86
REC,EURIBOR3M,04/22/2036,01/22/2036,04/22/2036,91,10000000,0,01/18/2036,3.15677,78483.14,0.772388,60619.44
REC,EURIBOR3M,07/22/2036,04/22/2036,07/22/2036,91,10000000,0,04/18/2036,3.15677,78483.14,0.766404,60149.78
REC,EURIBOR3M,10/22/2036,07/22/2036,10/22/2036,92,10000000,0,07/18/2036,3.1569,79349.12,0.760401,60337.16
REC,EURIBOR3M,01/22/2037,10/22/2036,01/22/2037,92,10000000,0,10/20/2036,3.21767,80902.06,0.754364,61029.63
REC,EURIBOR3M,04/22/2037,01/22/2037,04/22/2037,90,10000000,0,01/20/2037,3.21738,79136.15,0.748504,59233.75
REC,EURIBOR3M,07/22/2037,04/22/2037,07/22/2037,91,10000000,0,04/20/2037,3.21753,80019.07,0.742625,59424.2
REC,EURIBOR3M,10/22/2037,07/22/2037,10/22/2037,92,10000000,0,07/20/2037,3.21767,80902.06,0.736729,59602.89
REC,EURIBOR3M,01/22/2038,10/22/2037,01/22/2038,92,10000000,0,10/20/2037,3.25246,81791.11,0.73082,59774.59
REC,EURIBOR3M,04/22/2038,01/22/2038,04/22/2038,90,10000000,0,01/20/2038,3.25217,80005.72,0.725085,58010.94
REC,EURIBOR3M,07/22/2038,04/22/2038,07/22/2038,91,10000000,0,04/20/2038,3.25231,80898.37,0.719332,58192.77
REC,EURIBOR3M,10/22/2038,07/22/2038,10/22/2038,92,10000000,0,07/20/2038,3.25246,81791.11,0.713562,58363.01
REC,EURIBOR3M,01/24/2039,10/22/2038,01/24/2039,94,10000000,0,10/20/2038,3.25275,83576.83,0.707714,59148.51
REC,EURIBOR3M,04/22/2039,01/24/2039,04/22/2039,88,10000000,0,01/20/2039,3.25187,78220.65,0.702283,54933.06
REC,EURIBOR3M,07/22/2039,04/22/2039,07/22/2039,91,10000000,0,04/20/2039,3.25231,80898.37,0.696711,56362.79
REC,EURIBOR3M,10/24/2039,07/22/2039,10/24/2039,94,10000000,0,07/20/2039,3.25275,83576.83,0.691002,57751.72
REC,EURIBOR3M,01/23/2040,10/24/2039,01/23/2040,91,10000000,0,10/20/2039,3.25231,80898.37,0.685519,55457.36
REC,EURIBOR3M,04/23/2040,01/23/2040,04/23/2040,91,10000000,0,01/19/2040,3.25231,80898.37,0.68008,55017.33
REC,EURIBOR3M,07/23/2040,04/23/2040,07/23/2040,91,10000000,0,04/19/2040,3.25231,80898.37,0.674684,54580.8
